category,city,year,sales_amount,sales_amount_sum,sales_amount_mean,sales_amount_count,days_since_join_first,time_since_join_first
clothing,atlanta,2020,30.76,30.76,30.76,1,1958,5 year(s) and 4 month(s)
clothing,atlanta,2020,102.54,102.54,102.54,1,1827,5 year(s) and 0 month(s)
clothing,atlanta,2020,207.58,207.58,207.58,1,1978,5 year(s) and 5 month(s)
clothing,atlanta,2020,210.17,210.17,210.17,1,1958,5 year(s) and 4 month(s)
clothing,atlanta,2020,281.85,281.85,281.85,1,1929,5 year(s) and 3 month(s)
clothing,atlanta,2020,318.64,318.64,318.64,1,2008,5 year(s) and 6 month(s)
clothing,atlanta,2020,359.86,359.86,359.86,1,2029,5 year(s) and 6 month(s)
clothing,atlanta,2020,493.35,493.35,493.35,1,2022,5 year(s) and 6 month(s)
clothing,atlanta,2020,559.24,559.24,559.24,1,1840,5 year(s) and 0 month(s)
clothing,atlanta,2020,751.66,751.66,751.66,1,1878,5 year(s) and 1 month(s)
clothing,atlanta,2020,757.89,757.89,757.89,1,1978,5 year(s) and 5 month(s)
clothing,atlanta,2020,1114.85,1114.85,1114.85,1,1942,5 year(s) and 3 month(s)
clothing,atlanta,2020,1199.52,1199.52,1199.52,1,2029,5 year(s) and 6 month(s)
clothing,atlanta,2020,1238.54,1238.54,1238.54,1,2006,5 year(s) and 6 month(s)
clothing,atlanta,2020,1858.08,1858.08,1858.08,1,1887,5 year(s) and 2 month(s)
clothing,atlanta,2020,1978.5,1978.5,1978.5,1,1958,5 year(s) and 4 month(s)
clothing,atlanta,2020,2418.21,2418.21,2418.21,1,1915,5 year(s) and 3 month(s)
clothing,atlanta,2021,179.93,179.93,179.93,1,1448,3 year(s) and 11 month(s)
clothing,atlanta,2021,199.92,199.92,199.92,1,1632,4 year(s) and 5 month(s)
clothing,atlanta,2021,207.58,207.58,207.58,1,1563,4 year(s) and 3 month(s)
clothing,atlanta,2021,286.78,286.78,286.78,1,1453,3 year(s) and 11 month(s)
clothing,atlanta,2021,308.14,308.14,308.14,1,1438,3 year(s) and 11 month(s)
clothing,atlanta,2021,327.79,327.79,327.79,1,1443,3 year(s) and 11 month(s)
clothing,atlanta,2021,368.77,368.77,368.77,1,1648,4 year(s) and 6 month(s)
clothing,atlanta,2021,382.37,382.37,382.37,1,1579,4 year(s) and 3 month(s)
clothing,atlanta,2021,516.06,516.06,516.06,1,1751,4 year(s) and 9 month(s)
clothing,atlanta,2021,527.6,527.6,527.6,1,1602,4 year(s) and 4 month(s)
clothing,atlanta,2021,560.47,560.47,560.47,1,1704,4 year(s) and 8 month(s)
clothing,atlanta,2021,637.28,637.28,637.28,1,1602,4 year(s) and 4 month(s)
clothing,atlanta,2021,655.58,655.58,655.58,1,1648,4 year(s) and 6 month(s)
clothing,atlanta,2021,671.09,1342.18,671.09,2,1779,4 year(s) and 10 month(s)
clothing,atlanta,2021,674.97,674.97,674.97,1,1504,4 year(s) and 1 month(s)
clothing,atlanta,2021,799.68,799.68,799.68,1,1433,3 year(s) and 11 month(s)
clothing,atlanta,2021,806.07,806.07,806.07,1,1504,4 year(s) and 1 month(s)
clothing,atlanta,2021,824.7,824.7,824.7,1,1526,4 year(s) and 2 month(s)
clothing,atlanta,2021,1229.22,1229.22,1229.22,1,1743,4 year(s) and 9 month(s)
clothing,atlanta,2021,1480.05,1480.05,1480.05,1,1613,4 year(s) and 5 month(s)
