TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,NumberofItems,City
1,05/04/2025,1034,2059,402,0.0,2048.2,4,Atlanta
2,05/04/2025,1066,2048,403,1.0,321.87,5,Philly
3,05/04/2025,1116,2041,403,3.0,3216.84,1,Philadelphia
4,05/04/2025,1071,2096,404,2.0,1613.23,2,Chicago
5,05/04/2025,1020,2060,401,0.0,408.38,4,Los Angelos
6,05/04/2025,1089,2028,401,0.0,1275.88,3,Los Angelos
7,05/04/2025,1193,2003,402,1.0,346.66,4,Atlanta
8,05/04/2025,1005,2079,402,1.0,855.49,3,Atlanta
9,05/04/2025,1032,2060,401,1.0,735.08,5,Los Angelos
10,05/04/2025,1119,2089,403,2.0,661.63,6,Philadelphia
11,05/04/2025,1042,2077,401,unknown,505.65,4,Los Angelos
12,05/04/2025,1079,2013,401,2.0,0.0,5,Los Angelos
14,05/04/2025,1183,2025,401,1.0,503.32,1,Los Angelos
15,05/04/2025,1026,2089,403,0.0,413.52,2,Philadelphia
16,05/04/2025,1144,2005,403,3.0,1715.12,6,Philadelphia
17,05/04/2025,1169,2047,401,2.0,535.97,1,Los Angelos
19,05/04/2025,1110,2046,404,1.0,30.09,3,Chicago
20,05/04/2025,1111,2022,403,3.0,671.18,2,Philadelphia
21,05/04/2025,1119,2055,403,2.0,731.26,1,Philadelphia
22,05/04/2025,1062,2011,403,3.0,1229.22,5,Philadelphia
23,05/04/2025,1062,2096,404,3.0,672.18,222222,Chicago
24,05/04/2025,1086,2003,404,2.0,924.43,3,Chicago
25,05/04/2025,1046,2062,402,2.0,1981.95,4,Atlanta
26,05/04/2025,1066,2043,403,2.0,698.76,5,Philadelphia
27,05/04/2025,1142,2001,402,0.0,1237.05,1,Atlanta
28,05/04/2025,1061,2092,404,3.0,482.21,2,Chicago
31,,1004,2011,403,1.0,737.53,4,Philadelphia
32,05/04/2025,1103,2088,402,2.0,0.0,3,Atlanta
33,05/04/2025,1169,2074,403,3.0,0.0,5,Philadelphia
34,05/04/2025,1141,2067,403,3.0,872.85,6,Philadelphia
35,05/04/2025,1190,2070,403,2.0,54.69,4,Philadelphia
36,05/04/2025,1179,2058,403,2.0,1066.8,5,Phila
37,05/04/2025,1064,2029,401,1.0,12.16,2,Los Angelos
38,05/04/2025,1080,2015,402,1.0,3037.36,1,Atlanta
39,05/04/2025,1055,2094,404,2.0,1578.72,2,Chicago
40,05/04/2025,1185,2075,403,0.0,0.0,6,Philadelphia
41,05/04/2025,9999,2037,402,2.0,288.11,1,Atlanta
42,05/04/2025,1045,2038,401,1.0,1667.72,2,Los Angelos
43,05/04/2025,1070,2005,401,2.0,686.05,3,Los Angelos
44,05/04/2025,1178,2016,404,0.0,0.0,2,Chicago
45,05/04/2025,1003,2073,403,3.0,1498.29,1,Philadelphia
46,05/04/2025,1122,2056,403,1.0,944.5,5,Philadelphia
47,05/04/2025,1013,2032,404,0.0,2836.8,2,Chicago
48,05/04/2025,1016,2051,404,0.0,117.32,3,Chicago
49,05/04/2025,1147,2080,401,1.0,0.0,4,Los Angelos
50,05/04/2025,1038,2072,403,0.0,840.6,5,Philadelphia
51,05/04/2025,1063,2015,404,1.0,1214.95,1,Chicago
52,05/04/2025,1198,2066,404,3.0,516.06,2,Chicago
53,05/04/2025,1113,2038,404,2.0,2223.62,4,Chicago
54,05/04/2025,1145,2079,401,0.0,1901.08,3,Los Angelos
55,05/04/2025,1195,2026,402,2.0,507.74,4,Atlanta
56,05/04/2025,1169,2010,402,1.0,140.11,3,Atlanta
57,05/04/2025,1044,2070,401,1.0,0.0,5,Los Angelos
58,05/04/2025,1000,2052,404,3.0,2193.78,6,Chicago
59,05/04/2025,1074,2004,402,2.0,741.8,4,Atlanta
60,05/04/2025,1180,2036,404,0.0,217.98,5,Chicago
61,05/04/2025,1175,2029,403,1.0,36.48,2,Philadelphia
62,05/04/2025,1108,2014,402,1.0,221.67,1,Atlanta
63,05/04/2025,1068,2018,401,0.0,2169.04,2,Los Angelos
64,05/04/2025,1042,2039,403,3.0,2929.32,6,Philadelphia
65,05/04/2025,1031,2059,403,3.0,0.0,1,Philadelphia
66,05/04/2025,1069,2064,404,3.0,1470.2,2,Chicago
68,05/04/2025,1188,2041,403,0.0,1608.42,2,Philadelphia
69,05/04/2025,1023,2029,401,2.0,0.0,1,Los Angelos
70,05/04/2025,1147,2005,402,3.0,0.0,5,Atlanta
71,05/04/2025,1132,2083,404,2.0,614.53,2,Chicago
72,05/04/2025,1046,2074,404,3.0,659.5,3,Chicago
73,05/04/2025,1023,2060,403,3.0,1225.14,4,Philadelphia
74,05/04/2025,1085,2041,401,1.0,1447.58,5,Los Angelos
75,05/04/2025,1084,2052,404,2.0,2925.04,1,Chicago
76,05/04/2025,1169,2051,401,3.0,117.32,2,Los Angelos
77,05/04/2025,1022,2040,403,2.0,55.26,4,Philadelphia
79,05/04/2025,1168,2069,404,3.0,232.39,4,Chicago
80,05/04/2025,1013,2024,403,3.0,372.81,3,Philadelphia
81,05/04/2025,1160,2056,401,1.0,472.25,5,Los Angelos
82,05/04/2025,1068,2070,402,2.0,109.38,6,Atlanta
83,05/04/2025,1112,2089,404,0.0,2067.6,4,Chicago
84,05/04/2025,1007,2080,402,1.0,1498.07,5,Atlanta
85,05/04/2025,1079,2070,401,3.0,34.18,2,Los Angelos
86,05/04/2025,1023,2028,401,3.0,2551.76,1,Los Angelos
87,05/04/2025,1030,2082,402,3.0,799.8,2,Atlanta
88,05/04/2025,1183,2037,403,3.0,2160.84,6,Philadelphia
89,05/04/2025,1123,2060,402,3.0,2450.28,1,Atlanta
90,05/04/2025,1141,2018,404,1.0,2440.17,2,Chicago
91,05/04/2025,1153,2065,402,0.0,470.34,3,Atlanta
92,05/04/2025,1070,2098,404,2.0,0.0,2,Chicago
93,05/04/2025,1129,2034,401,2.0,108.94,1,Los Angelos
94,05/04/2025,1185,2038,404,1.0,1667.72,5,Chicago
95,05/04/2025,1114,2068,404,2.0,656.19,2,Chicago
96,05/04/2025,1085,2070,404,3.0,0.0,3,Chicago
97,05/04/2025,1082,2024,402,3.0,372.81,4,Atlanta
98,05/04/2025,1059,2099,404,0.0,1292.64,5,Chicago
99,05/04/2025,1081,2095,404,3.0,490.79,1,Chicago
100,05/04/2025,1098,2084,402,3.0,0.0,2,Atlanta
101,05/04/2025,1009,2016,403,0.0,969.06,4,Philadelphia
102,05/04/2025,1112,2012,404,0.0,1869.57,3,Chicago
103,05/04/2025,1184,2018,404,1.0,488.03,4,Chicago
104,05/04/2025,1019,2060,403,2.0,0.0,3,Philadelphia
105,05/04/2025,1159,2088,404,0.0,0.0,5,Chicago
106,05/04/2025,1084,2086,404,2.0,2861.12,6,Chicago
107,05/04/2025,1160,2091,404,0.0,905.79,4,Chicago
108,05/04/2025,1158,2008,402,2.0,159.82,5,Atlanta
109,05/04/2025,1058,2095,401,3.0,2453.95,2,Los Angelos
110,05/04/2025,1025,2097,401,3.0,842.1,1,Los Angelos
111,05/04/2025,1042,2088,403,0.0,709.35,2,Philadelphia
112,05/04/2025,1011,2041,401,2.0,0.0,6,Los Angelos
113,05/04/2025,1091,2047,404,1.0,0.0,1,Chicago
114,05/04/2025,1062,2067,404,1.0,0.0,2,Chicago
115,05/04/2025,1043,2022,401,3.0,2684.72,3,Los Angelos
116,05/04/2025,1158,2087,402,3.0,477.96,2,Atlanta
117,05/04/2025,1149,2018,402,3.0,1626.78,1,Atlanta
118,05/04/2025,1163,2032,404,2.0,756.48,5,Chicago
119,05/04/2025,1170,2001,404,2.0,659.76,2,Chicago
120,05/04/2025,1173,2069,402,0.0,464.78,3,Atlanta
121,05/04/2025,1113,2044,403,3.0,0.0,4,Philadelphia
122,05/04/2025,1176,2032,404,2.0,756.48,5,Chicago
123,05/04/2025,1050,2049,404,0.0,2819.52,1,Chicago
124,05/04/2025,1060,2048,403,2.0,1144.42,2,Philadelphia
125,05/04/2025,1179,2037,401,3.0,1440.56,4,Los Angelos
126,05/04/2025,1070,2001,401,3.0,0.0,3,Los Angelos
127,05/04/2025,1073,2099,402,2.0,0.0,4,Atlanta
128,05/04/2025,1056,2081,402,2.0,0.0,3,Atlanta
129,05/04/2025,1173,2096,402,0.0,672.18,5,Unknown
130,05/04/2025,1160,2082,401,2.0,426.56,6,Los Angelos
131,05/04/2025,1112,2004,403,1.0,1669.05,4,Philadelphia
132,05/04/2025,1023,2037,403,3.0,2160.84,5,Philadelphia
133,05/04/2025,1044,2025,402,2.0,223.7,2,Atlanta
